ID,degr_class,orig_species,canopy_width,canopy_length,height,species,plot_size,bsd,yc,yc_lc,yc_uc,area,vol
PV26,Intact,E.mauritanica,25,41,164,E.mauritanica,5,None,0.0764107079561419,0.05412425146893385,0.46960747598045544,0.08552985999398212,0.14026897039013067
PV26,Intact,R.obovatum,207,217,163,R.obovatum,5,None,3.3255347913518847,2.8405609676130683,16.835519881218918,3.529893505573492,5.753726414084791
PV26,Intact,Baarbossie,14,18,56,Baarbossie,5,None,0.0,0.0,0.0,0.020106192982974676,0.011259468070465819
PV26,Intact,P.pyracantha,68,142,148,P.pyracantha,5,None,1.4626027277893765,0.7922431442192456,11.578938261665897,0.8659014751456867,1.2815341832156162
PV26,Intact,P.myrtifolia,152,188,271,P.myrtifolia,5,None,4.1184716453622885,2.2308388079045733,32.604567192451455,2.2698006922186256,6.151159875912475
PV26,Intact,P.afra,91,172,120,P.afra,5,None,1.5228780788694973,1.2056118124383521,8.40755606042535,1.3581301391009526,1.629756166921143
PV26,Intact,P.afra,131,150,147,P.afra,5,None,2.0872003210283965,1.6523669208141474,11.523085105677605,1.550395609500648,2.279081545965952
PV26,Intact,E.mauritanica,45,97,180,E.mauritanica,5,None,0.20881741277659294,0.14791233405008666,1.283357016022811,0.39591921416865367,0.7126545855035765
PV26,Intact,R.obovatum,154,173,103,R.obovatum,5,None,1.3254828210483307,1.1321832429787824,6.710256781557175,2.099546005348144,2.162532385508588
PV26,Intact,C.perforata,52,73,31,C.perforata,5,None,0.043884756153538595,0.0612558054643143,0.13713986297980812,0.30679615757712825,0.09510680884890975
PV26,Intact,I.sylvatica,8,12,36,I.sylvatica,5,None,0.002797548030839457,0.004371168798186651,0.007809821586093484,0.007853981633974483,0.0028274333882308137
PV26,Intact,G.robusta,56,61,29,G.robusta,5,None,0.12366590177145101,0.1442768854000262,0.45859438573579747,0.26878288646869175,0.0779470370759206
PV26,Intact,G.robusta,63,82,71,G.robusta,5,None,0.21883383052008862,0.25530613560677007,0.811508788178662,0.4128249096357838,0.29310568584140645
