ID,Stratum,Size,N,Vol,VolHa,MaxVol,95%Vol,Height,HeightHa,MeanHeight,MaxHeight,95%Height,MeanArea,MaxArea,95%Area,Abc,AbcHa,LitterC,LitterCHa,AgcHa
SS13,Severe,20,330,236.9822035827215,5924.555089568037,101.78231526492193,2.080964024763398,15117.0,377925.0,45.80909090909091,363,155.55,0.49072462647235976,28.039205307141028,1.91134497044403,211.8254897778062,5295.637244445155,0.06289919999999999,628.9919999999998,5924.629244445156
SS14,Severe,20,411,99.2453154416311,2481.1328860407775,4.384200540332024,1.185822028732268,13070.0,326750.0,31.800486618004864,249,93.0,0.4835395518289342,3.715424186722054,1.662707546866483,98.02107209843288,2450.5268024608217,0.056731199999999996,567.312,3017.8388024608216
SS15,Severe,20,669,170.89260689374734,4272.315172343684,25.540780118295924,0.3807799577108217,18518.0,462950.0,27.680119581464872,391,79.80000000000007,0.3951137995049783,8.32131317615005,1.1901805958400427,170.07851137125925,4251.962784281482,0.5418864,5418.864,9670.826784281482
SS16,Severe,20,540,306.99863302730256,7674.965825682564,97.52068160577522,1.6938654210183193,18854.0,471350.0,34.91481481481482,433,121.0,0.49728211936031097,22.52209736853931,1.3196996252182087,216.90820777764515,5422.705194441129,0.0452736,452.736,5875.441194441129
SS17,Severe,20,555,274.1323195570402,6853.307988926004,45.634931965678014,1.662467627362518,23844.0,596100.0,42.962162162162166,299,118.49999999999977,0.5660742403802936,18.857409903172734,1.5570400779629892,231.48974474449787,5787.243618612447,0.0342624,342.62399999999997,6129.867618612447
SS18,Severe,20,299,681.3739416414791,17034.348541036976,123.52680954683552,3.714304699814849,11377.0,284425.0,38.05016722408027,459,132.69999999999976,0.8361772410920031,31.919072234324425,2.396285139442929,603.1204186869695,15078.010467174237,0.07726559999999999,772.656,15850.666467174236
SS19,Severe,20,333,113.71701153856051,2842.9252884640127,10.450278625902735,1.2451836392889954,11802.0,295050.0,35.44144144144144,364,113.0,0.2690609598724892,4.967820098075625,1.274991816514514,94.46653310561655,2361.6633276404136,0.1479264,1479.2640000000001,3840.9273276404138
SS2,Severe,20,615,239.78285567897865,5994.571391974467,77.80425011901863,0.6442910749922002,16377.0,409425.0,26.629268292682926,364,77.79999999999973,0.3912693377737947,22.103480147448472,1.1785881189482958,136.91334096849727,3422.8335242124317,0.10725119999999999,1072.512,4495.345524212432
SS20,Severe,20,738,363.0787528643377,9076.968821608441,42.30666980360273,2.269183506706873,28570.0,714250.0,38.71273712737128,236,108.0,0.5661878423886484,18.47452829851648,2.31408536766179,229.8334791901163,5745.836979752907,0.30367199999999994,3036.7199999999993,8782.556979752906
SS21,Severe,20,828,308.9760637554093,7724.4015938852335,54.93553219362895,0.941211714602587,23452.0,586300.0,28.32367149758454,392,107.29999999999995,0.26279218609349714,16.54684704627378,1.0296766271681395,236.00369706123246,5900.092426530812,0.0730704,730.704,6630.796426530812
SS3,Severe,20,228,113.04677905675558,2826.1694764188896,43.117829026759615,0.6703703388175387,6603.0,165075.0,28.960526315789473,365,96.0,0.2892517232747,13.267024315926037,0.7386404654872849,55.92451058908298,1398.1127647270746,0.061353599999999994,613.536,2011.6487647270746
SS4,Severe,20,668,655.2429785893373,16381.074464733432,40.6179396593884,4.577569927120281,45480.0,1137000.0,68.08383233532935,427,172.64999999999998,0.7752512717884683,11.671821741203564,3.1244984625634453,341.9358374172245,8548.395935430612,0.4203552,4203.552,12751.947935430611
SS5,Severe,20,1069,558.2105489802667,13955.263724506667,83.46916920657358,0.24548306820380217,31208.0,780200.0,29.193638914873713,407,60.19999999999982,0.3619516436136412,20.50839538245051,0.7542963961269094,499.55436152340815,12488.859038085204,0.23764855304695304,2376.48553046953,14865.344568554734
SS7,Severe,20,486,289.019131177349,7225.478279433724,62.87855952247587,1.7263336338310145,17857.0,446425.0,36.742798353909464,306,138.25,0.5975682533662241,20.548548863554206,1.6742136299602555,214.02356285827753,5350.589071456938,0.1929216,1929.216,7279.805071456938
SS8,Severe,20,445,316.4760210803966,7911.900527009915,72.99574411139736,0.983497885514124,17107.0,427675.0,38.442696629213486,363,73.0,0.5666897046644229,20.109020416362906,1.4102609421964583,254.0418521272564,6351.04630318141,0.0759648,759.648,7110.69430318141
SS9,Severe,20,349,193.2495782254232,4831.239455635579,76.23976800075836,0.42649947705869673,8378.0,209450.0,24.005730659025787,318,39.0,0.37746916486303794,23.974769811559234,1.093588402714607,205.2271289571403,5130.678223928508,0.061944000000000006,619.44,5750.118223928508
ST15,Severe,20,168,399.71394746921646,9992.848686730411,162.28387745605156,6.478697446689662,14778.0,369450.0,87.96428571428571,441,179.85000000000005,1.0722321176548912,36.79906518277813,3.521496617459073,306.03901237698614,7650.975309424653,0.6031775999999999,6031.775999999999,13682.751309424651
ST17,Severe,20,68,30.299463411674374,757.4865852918593,5.541796929868114,1.3207847018683294,4526.0,113150.0,66.55882352941177,140,113.34999999999997,0.5498760229006643,3.9584263784772244,1.4839744868221254,33.73018012084866,843.2545030212165,0.054556799999999996,545.568,1388.8225030212166
ST18,Severe,20,93,829.2132371050466,20730.330927626164,213.43245984126645,36.54548827234118,12462.0,311550.0,134.0,478,345.0,2.8916673459271047,44.651142226206375,10.796008541235794,543.8508236598013,13596.270591495033,0.15947999999999998,1594.7999999999997,15191.070591495032
ST19,Severe,20,225,208.55408520572843,5213.85213014321,59.87081167499869,3.427250801346782,13460.0,336500.0,59.82222222222222,365,133.19999999999993,0.8450062188078855,16.402962102739366,2.895291789548353,210.62201521250552,5265.550380312638,0.0858912,858.912,6124.462380312638
ST2,Severe,20,138,157.11497559684253,3927.874389921063,38.785943072693335,4.1947967761329155,8746.0,218650.0,63.3768115942029,354,115.05000000000004,0.9798311619893894,10.956481093981168,3.552928251958239,131.4493582953055,3286.2339573826375,0.1564752,1564.7520000000002,4850.985957382638
ST22,Severe,20,95,504.0367275377767,12600.918188444419,101.50070152500736,28.317641502801074,9590.0,239750.0,100.94736842105263,430,323.3,1.9920359510165755,23.715117178740034,9.18434205751311,351.458696737701,8786.467418442526,0.3132912,3132.912,11919.379418442526
ST35,Severe,20,85,617.9836846126746,15449.592115316864,115.57664118153745,21.8984641305651,10661.0,266525.0,125.4235294117647,430,264.0,2.872850885024949,26.878288646869176,10.562823826523097,489.12607136146875,12228.151784036718,0.09716159999999999,971.6159999999999,13199.767784036718
ST39,Severe,20,65,144.28487181350624,3607.121795337656,40.56293763695706,7.4707414165168196,6330.0,158250.0,97.38461538461539,305,151.2,1.673204997472723,13.299323815395756,4.818861482405665,122.08257374674272,3052.064343668568,0.14372639999999998,1437.2639999999997,4489.328343668568
ST43,Severe,20,180,410.80439981841465,10270.109995460365,90.26519634520588,6.824198742434812,14233.0,355825.0,79.07222222222222,540,188.14999999999995,1.1931113309033754,25.967226777328136,3.984109880168022,309.64110754174254,7741.027688543563,0.4523568,4523.568,12264.595688543563
ST45,Severe,20,308,438.5314682604675,10963.286706511688,127.28276852546959,1.1054696999634641,9654.0,241350.0,31.344155844155843,457,94.64999999999998,0.5432430159115198,39.25804865760511,1.206324455088674,355.4535055740777,8886.337639351943,0.0753312,753.312,9639.649639351943
ST48,Severe,20,369,115.92879310130307,2898.219827532577,18.943685106023782,1.2066623333785693,16066.0,401650.0,43.53929539295393,164,101.59999999999997,0.35825564744570826,11.551027503673037,1.360215371224772,100.11876011352305,2502.9690028380764,0.0770544,770.544,3273.5130028380763
ST49,Severe,20,228,560.3539620255846,14008.849050639614,223.15646684465815,1.9856647639120184,14914.0,372850.0,65.41228070175438,504,115.0,0.9759272321339219,48.830736727496316,2.0777904762220336,525.8495239793607,13146.238099484017,1.3415856,13415.856,26562.094099484017
ST7,Severe,20,166,78.14938254269889,1953.7345635674722,4.448203029366363,0.9071817571769305,12479.0,311975.0,75.17469879518072,142,106.5,0.5894226329385475,4.118706508672558,1.2423231799079986,105.82938074904541,2645.7345187261353,0.051273599999999996,512.736,3158.470518726135
TCH1,Severe,10,122,57.363602985793236,5736.360298579323,26.892013479774548,0.4177110286899119,3466.0,346600.0,28.40983606557377,262,62.89999999999998,0.28498478149144946,11.641564276958677,0.6928792414969329,44.41932228766293,4441.932228766293,0.0282288,282.288,4724.220228766293
TCH3,Severe,10,19,6.2180457579541875,621.8045757954187,1.0918469786368141,1.0455429856106917,991.0,99100.0,52.1578947368421,99,89.99999999999997,0.5544487331945205,1.168986626400762,1.1094868250371797,5.435872833318987,543.5872833318987,0.0530688,530.688,1074.2752833318987
